dokument nr,navn,"format (vidnesbyrd, breve, bøger,Soliloquies, Biographical Sketches",årstal,måned,dag,afsenderby,modtager,modtagerby,incomplete,antal kapitler,"""bog""",tilføjelser,oversætter,,religiøse oplevelser,genre-forkortelser
147,"147. To Padre Jerónimo Gracián, Seville",letter,1576,11,11,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
148,"148. To Madre María de San José, Seville",letter,1576,11,11,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
149,"149. To Padre Jerónimo Gracián, Seville",letter,1576,11,NA,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
150,150. To Padre Jerónimo Gracián,letter,1576,11,19,Toledo,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
151,"151. To Madre María de San José, Seville",letter,1576,11,19,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
152,"152. To Madre María de San José, Seville",letter,1576,11,26,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
153,"153. To Don Luis de Cepeda, Torrijos",letter,1576,11,26,Toledo,Don Luis de Cepeda,Torrijos,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
154,"154. To Jerónimo Gracián, Seville",letter,1576,11,NA,Toledo,Jerónimo Gracián,Seville,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
155,"155. To Padre Jerónimo Gracián, Seville",letter,1576,11,NA,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
156,"156. To Don Diego de Guzmán y Cepeda, Avila",letter,1576,11,NA,Toledo,Don Diego de Guzmán y Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
157,"157. To Padre Jerónimo Gracián, Seville",letter,1576,12,NA,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
158,"158. To Madre María de San José, Seville",letter,1576,12,3,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
159,"159. To Padre Jerónimo Gracián, Seville",letter,1576,12,7,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
160,"160. To Madre María de San José, Seville",letter,1576,12,7,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
161,"161. To Padre Ambrosio Mariano, Madrid",letter,1576,12,12,Toledo,Padre Ambrosio Mariano,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
162,"162. To Padre Jerónimo Gracián, Seville",letter,1576,12,13,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
163,"163. To Madre María de San José, Seville",letter,1576,12,13,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
164,"164. To Madre María Bautista, Valladolid",letter,1576,12,NA,Toledo,Madre María Bautista,Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
165,"165. To Diego Ortiz (?), Toledo",letter,1576,12,16,Toledo,Diego Ortiz (?),Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
166,"166. To Madre Brianda de San José, Malagón",letter,1576,12,18,Toledo,Madre Brianda de San José,Malagón,0,1,StTeresaLetters1,The autograph is torn and parts are missing,"Kieran Kavanaugh, O.C.D.",,,
167,"167. To Madre María de San José, Seville",letter,1576,12,27,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
168,"168. To Don Diego de Guzmán y Cepeda, Avila",letter,1576,12,NA,Toledo,Don Diego de Guzmán y Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
169,"169. To Padre Jerónimo Gracián, Seville",letter,1576,12,NA,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
170,"170. To Padre Jerónimo Gracián, Seville",letter,1576,12,NA,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
171,"171. To Lorenzo de Cepeda, Avila",letter,1576,NA,NA,Toledo,Lorenzo de Cepeda,Avila,1,1,StTeresaLetters1,"årstal 1576-1577, We don't know whether this represents a short note or a postscript to a lost letter. It accompanied a little song Teresa sent to Lorenzo","Kieran Kavanaugh, O.C.D.",,,
172,"172. To Don Lorenzo de Cepeda, Avila",letter,1577,1,2,Toledo,Don Lorenzo de Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
173,"173. To Madre María de San José, Seville",letter,1577,1,3,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
174,174. To Padre Jerónimo Gracián,letter,1577,1,9,Toledo,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
175,"175. To Madre María de San José, Seville",letter,1577,1,9,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
176,"176. To Padre Ambrosio Mariano, Madrid",letter,1577,1,NA,Toledo,Padre Ambrosio Mariano,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
177,"177. To Lorenzo de Cepeda, Avila",letter,1577,1,17,Toledo,To Lorenzo de Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
178,"178. To María de San José, Seville",letter,1577,1,17,Toledo,María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
179,"179. To Madre María Bautista, Valladolid",letter,1577,1,21,Toledo,Madre María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
180,"180. To Madre María de San José, Avila",letter,1577,1,26,Toledo,Madre María de San José,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
181,"181. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1577,2,6,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
182,"182. To Don Lorenzo de Cepeda, Avila",letter,1577,2,10,Toledo,Don Lorenzo de Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
183,"183. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1577,2,16,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
184,"184. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1577,2,18,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
185,"185. To Don Lorenzo de Cepeda, Avila",letter,1577,2,27,Toledo,Don Lorenzo de Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
186,"186. To Madre María de San José, Seville",letter,1577,2,28,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
187,"187. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1577,2,28,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
188,"188. To María de San José, Seville",letter,1577,3,1,Toledo,María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
189,"189. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1577,3,5,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
190,"190. To Madre María de San José, Seville",letter,1577,4,8,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
191,"191. To Padre Ambrosio Mariano, Madrid",letter,1577,4,NA,Toledo,Padre Ambrosio Mariano,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
192,"192. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1577,4,NA,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
193,"193. To Madre María de San José, Seville",letter,1577,5,6,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
194,"194. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1577,5,9,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
195,"195. To Madre María de San José, Seville",letter,1577,5,15,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
196,"196. To Madre María de San José, Seville",letter,1577,5,28,Toledo,Madre María de San José,Seville,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
197,"197. To Padre Jerónimo Gracián, Madrid",letter,1577,6,13,Toledo,Padre Jerónimo Gracián,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
198,"198. To Madre María de San José, Seville",letter,1577,6,28,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
199,199. To Padre Jerónimo Gracián,letter,1577,7,NA,Toledo/Avila,Padre Jerónimo Gracián,NA,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
200,"200. To Madre Ana de San Alberto, Caravaca",letter,1577,7,2,Toledo,Madre Ana de San Alberto,Caravaca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
201,"201. To Gaspar de Villanueva, Malagón",letter,1577,7,2,Toledo,Gaspar de Villanueva,Malagón,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
202,"202. To Madre María de San José, Seville",letter,1577,7,11,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
203,"203. To Roque de Huerta, Madrid",letter,1577,7,14,NA,Roque de Huerta,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
204,"204. To Padre Jerónimo Gracián, Madrid(?)",letter,1577,7,NA,Toledo/Avila,Padre Jerónimo Gracián,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
205,"205. To Padre Jerónimo Gracián, Seville",letter,1577,7,NA,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
206,"206. To Don Alvaro de Mendoza, Olmedo",letter,1577,8,NA,Avila,Don Alvaro de Mendoza,Olmedo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
207,"207. To Don Alvaro de Mendoza, Olmedo",letter,1577,9,6,Avila,Don Alvaro de Mendoza,Olmedo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
208,"208. To the King Don Philip II, Madrid",letter,1577,9,18,Avila,the King Don Philip II,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
209,"209. To Roque de Huerta, Madrid",letter,1577,10,7,Avila,Roque de Huerta,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
210,"210. To Don Juan de Ovalle, Alba de Tormes",letter,1577,10,20,Avila,Don Juan de Ovalle,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
211,"211. To Madre María de San José, Seville",letter,1577,10,22,Avila,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
212,"212. To Roque de Huerta, Madrid",letter,1577,10,22,Avila,Roque de Huerta,Madrid,0,1,StTeresaLetters1,The autograph is badly damaged.,"Kieran Kavanaugh, O.C.D.",,,
213,213. To Padre Jerónimo Gracián,letter,1577,10,NA,Avila,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
214,214. To Padre Jerónimo Gracián,letter,1577,11,NA,Avila,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
215,"215. To Rodrigo de Aranda, Madrid",letter,1577,11,10,Avila,Rodrigo de Aranda,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
216,"216. To Padre Jerónimo Gracián, Pastrana/Alcalá (?)",letter,1577,12,NA,Avila,Padre Jerónimo Gracián,Pastrana/Alcalá (?),1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
217,217. To Padre Jerónimo Gracián,letter,1577,12,NA,Avila,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
218,218. To the King Don Philip II,letter,1577,12,4,Avila,the King Don Philip II,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
219,"219. To Padre Gaspar de Salazar, Granada",letter,1577,12,7,Avila,Padre Gaspar de Salazar,Granada,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
220,"220. To Don Juan de Ovalle and Doña Juana de Ahumada, Alba",letter,1577,12,10,Avila,Don Juan de Ovalle and Doña Juana de Ahumada,Alba,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
221,"221. To Madre María de San José, Seville",letter,1577,12,10,Avila,"Madre María de San José,",Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
222,"222. To Madre María de San José, Seville",letter,1577,12,19,Avila,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
223,223. To Padre Jerónimo Gracián,letter,1577,12,24,Avila,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
224,"224. To Don Antonio de Soria, Salamanca",letter,1577,NA,NA,NA,Don Antonio de Soria,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
225,225. To Padre Jerónimo Gracián,letter,1578,1,NA,Avila,Padre Jerónimo Gracián,NA,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
226,"226. To Don Teutonio de Braganza, Evora",letter,1578,1,16,Avila,Don Teutonio de Braganza,Evora,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
227,227. To Padre Jerónimo Gracián (?),letter,1578,1,30,Avila,Padre Jerónimo Gracián ,NA,1,1,StTeresaLetters2,This is an autograph fragment,"Kieran Kavanaugh, O.C.D.",,,
228,"228. To Padre Juan Suárez, Madrid",letter,1578,2,10,Avila,Padre Juan Suárez,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
229,"229. To Padre Gonzalo Dávila, Avila",letter,1578,2,14,Avila,Padre Gonzalo Dávila,Avila,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
230,"230. To Padre Jerónimo Gracián, Pastrana",letter,1578,2,16,Avila,Padre Jerónimo Gracián,Pastrana,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
231,231. To Padre Jerónimo Gracián,letter,1578,3,2,Avila,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
232,"232. To Roque de Huerta, Madrid",letter,1578,3,8,Avila,Roque de Huerta,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
233,"233. To Padre Jerónimo Gracián, Alcalá",letter,1578,3,10,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
234,234. To Padre Jerónimo Gracián,letter,1578,3,NA,Avila,Padre Jerónimo Gracián,NA,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
235,"235. To Don Luis de Cepeda, Torrijos",letter,1578,3,NA,Avila,Don Luis de Cepeda,Torrijos,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
236,"236. To Doña María de Mendoza, Valladolid",letter,1578,3,26,Avila, Doña María de Mendoza,Valladolid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
237,"237. To Madre María de San José, Seville",letter,1578,3,28,Avila,Madre María de San José,Seville,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
238,"238. To Padre Jerónimo Gracián, Alcalá",letter,1578,4,15,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
239,"239. To Padre Jerónimo Gracián, Alcalá",letter,1578,4,17,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
240,240. To Gaspar de Villanueva in Malagón,letter,1578,4,17,Avila,Gaspar de Villanueva ,Malagón,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
241,"241. To Doña Juana Dantisco, Madrid",letter,1578,4,17,Avila,Doña Juana Dantisco,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
242,"242. To Padre Jerónimo Gracián, in Alcalá",letter,1578,4,26,Avila,Padre Jerónimo Gracián,Alcalá,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
243,"243. To Madre Ana de San Alberto, Caravaca",letter,1578,4,30,Avila,Madre Ana de San Alberto,Caravaca,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
244,"244. To Padre Jerónimo Gracián, Alcalá",letter,1578,5,7,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
245,"245. To Padre Jerónimo Gracián, Alcalá",letter,1578,5,8,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
246,"246. To Padre Jerónimo Gracián, Alcalá",letter,1578,5,14,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
247,"247. To Padre Jerónimo Gracián, Alcalá",letter,1578,5,22,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
248,"248. To Madre María de San José, Seville",letter,1578,6,4,Avila,Madre María de San José,Seville,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
249,"249. To Padre Gonzalo Dávila, Avila",letter,1578,NA,NA,Avila,Padre Gonzalo Dávila,Avila,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
250,"250. To Padre Domingo Báñez, Salamanca",letter,1578,7,28,Avila,Padre Domingo Báñez,Salamanca,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
251,"251. To Sister María de Jesús, Toledo",letter,1578,7,NA,Avila,Sister María de Jesús,Toledo,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
252,"252. To Padre Jerónimo Gracián, Peñaranda (?)",letter,1578,8,NA,Avila,Padre Jerónimo Gracián,Peñaranda ,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
253,"253. To Doña Juana de Ahumada, Alba",letter,1578,8,8,Avila,Doña Juana de Ahumada,Alba,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
254,"254. To Padre Jerónimo Gracián, Peñaranda (?)",letter,1578,8,9,Avila,Padre Jerónimo Gracián,Peñaranda ,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
255,"255. To Roque de Huerta, Madrid",letter,1578,8,NA,Avila,Roque de Huerta,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
256,"256. To Padre Jerónimo Gracián, Madrid",letter,1578,8,14,Avila,Padre Jerónimo Gracián,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
257,"257. To M. Anne of Jesus, Beas",letter,1578,8,NA,Avila,M. Anne of Jesus,Beas,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
258,"258. To Padre Jerónimo Gracián, Madrid",letter,1578,8,19,Avila,Padre Jerónimo Gracián,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
259,"259. To Roque de Huerta, Madrid",letter,1578,8,NA,Avila,Roque de Huerta,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
260,"260. To Padre Jerónimo Gracián, Madrid",letter,1578,8,21,Avila,Padre Jerónimo Gracián,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
261,"261. To Padre Jerónimo Gracián, Madrid",letter,1578,8,NA,Avila,Padre Jerónimo Gracián,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
262,262. Defense of Gracián Against Felipe Sega's Brief,letter,1578,8,NA,Avila,some influential people in Madrid,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
263,"263. To Sister María de Jesús, Toledo",letter,1578,8,NA,Avila,Sister María de Jesús,Toledo,1,1,StTeresaLetters2,or just from a note,"Kieran Kavanaugh, O.C.D.",,,
264,"264. To Madre María de San José, Seville",letter,1578,9,NA,Avila,Madre María de San José,Seville,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
265,"265. To Doña Inés and Doña Isabel Osorio, Madrid",letter,1578,9,NA,Avila,Doña Inés and Doña Isabel Osorio,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
266,"266. To Padre Jerónimo Gracián, Madrid",letter,1578,9,29,Avila,Padre Jerónimo Gracián,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
267,"267. To Padre Jerónimo Gracián, Madrid (?)",letter,1578,9,NA,Avila,Padre Jerónimo Gracián,Madrid?,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
268,"268. To Padre Jerónimo Gracián, Alcalá de Henares",letter,1578,10,NA,Avila,Padre Jerónimo Gracián,Alcalá de Henares,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
269,"269. To Padre Pablo Hernández, Madrid",letter,1578,10,4,Avila,Padre Pablo Hernández,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
270,"270. To Roque de Huerta, Madrid",letter,1578,10,4,Avila,Roque de Huerta,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
271,271. A Memorial for Father General Juan Bautista Rubeo,letter,1578,10,NA,Avila,NA,NA,1,1,StTeresaLetters2,Lidt uklart om det er til Father General Juan Bautista Rubeo,"Kieran Kavanaugh, O.C.D.",,,
272,272. To Padre Jerónimo Gracián,letter,1578,10,15,Avila,Padre Jerónimo Gracián,NA,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
273,"273. To Roque de Huerta, Madrid",letter,1578,10,24,Avila,Roque de Huerta,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
274,"274. To Roque de Huerta, Madrid",letter,1578,10,NA,Avila,Roque de Huerta,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
275,"275. To Roque de Huerta, Madrid",letter,1578,11,NA,Avila,Roque de Huerta,Madrid,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
276,"276. To María de San José, Seville",letter,1578,11,NA,Avila,María de San José,Seville,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
277,277. To Mother Anne of Jesus and the Community in Beas,letter,1578,11,NA,NA,Mother Anne of Jesus and the Community in Beas,Beas,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
278,"278. To Doña María Enríquez, Duchess of Alba",letter,1578,12,2,Avila,Doña María Enríquez,Duchess of Alba,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
279,"279. To Padre Jerónimo Gracián, Madrid (?)",letter,1578,12,NA,Avila,Padre Jerónimo Gracián,Madrid?,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
280,"280. To Roque de Huerta, Madrid",letter,1578,12,28,Avila,Roque de Huerta,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
281,"281. To Roque de Huerta, Madrid",letter,1578,12,28,Avila,Roque de Huerta,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
282,"282. To Doña Juana Dantisco, Madrid",letter,1578,12,28,Avila,Doña Juana Dantisco,Madrid,1,1,StTeresaLetters2,Only a fragment of the autograph remains.,"Kieran Kavanaugh, O.C.D.",,,
283,"283. To Padre Hernando de Pantoja, Seville",letter,1579,1,31,Avila,Padre Hernando de Pantoja,Seville,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
284,"284. To the Discalced Carmelite nuns, Seville",letter,1579,1,31,Avila,the Discalced Carmelite nuns,Seville,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
285,"285. To Doña Inés Nieto, Alba",letter,1579,2,4,Avila,Doña Inés Nieto,Alba,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
286,"286. To Padre Nicolás Doria, Madrid",letter,1579,2,10,Avila,Padre Nicolás Doria,Madrid ,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
287,"287. To Roque de Huerta, Madrid",letter,1579,3,12,Avila,Roque de Huerta,Madrid ,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
288,"288. To Padre Jerónimo Gracián, Alcalá",letter,1579,4,NA,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
289,"289. To Padre Jerónimo Gracián, Alcalá",letter,1579,4,NA,Avila,Padre Jerónimo Gracián,Alcalá,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
290,"290. To Padre Jerónimo Gracián, Alcalá",letter,1579,4,NA,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
291,"291. To Padre Jerónimo Gracián, Alcalá",letter,1579,4,NA,Avila,Padre Jerónimo Gracián,Alcalá,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
292,"292. To Padre Jerónimo Gracián, Pastrana",letter,1579,4,21,Avila,Padre Jerónimo Gracián,Pastrana,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
293,"293. To Pedro Juan de Casademonte, Madrid",letter,1579,5,2,Avila,Pedro Juan de Casademonte,Madrid,0,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
294,"294. To Isabel de San Jerónimo and María de San José, Seville",letter,1579,5,3,Avila,Isabel de San Jerónimo and María de San José,Seville,1,1,StTeresaLetters2,,"Kieran Kavanaugh, O.C.D.",,,
