"","year","batch","doc","barrier","penetration","barrier total.containeers","barrier total.enclosed openings in earth","barrier total.protective surfaces","barrier total.covered hidden etc","barrier total.special structures","barrier total.shell animal","barrier total._","penetration total.entranceways and openings","penetration total.permeable","penetration total.body orifices and use","penetration total.autopsy etc","penetration total.wounds and deformity","penetration total.spurt and excrete","penetration total.transparency","work","leisure","home","money","relig","death","negemo","posemo","anx","anger","sad","insight","cause","discrep","tentat","certain","see","hear","feel","body","health","sexual","ingest"
"716",1577,108,"filled with water in different ways; with one the water comes from far away through many aqueducts and the use of much ingenuity; with the other the source of the water is right there, and the trough fills without any noise. If the spring is abundant, as is this one we are speaking about, the water overflows once the trough is filled, forming a large stream. There is no need of any skill, nor does the building of aqueducts have to continue; but water is always flowing from the spring.
The water coming from the aqueducts is comparable, in my opinion, to the consolations I mentioned that are drawn from meditation. For we obtain them through thoughts, assisting ourselves, using creatures to help our meditation, and tiring the intellect. Since, in the end, the consolation comes through our own efforts, noise is made when there has to be some replenishing of the benefits the consolation causes in the soul, as has been said. 
4. With this other fount, the water comes from its own source which is God. And since His Majesty desires to do so -- when He is pleased to grant some supernatural favor -- He produces this delight with the greatest peace and quiet and sweetness in the very interior part of ourselves. I don't know from where or how, nor is that happiness and delight experienced, as are earthly consolations, in the heart. I mean there is no similarity at the beginning, for afterward the delight fills everything; this water overflows through all the dwelling places and faculties until reaching the body. This is why I said that it begins in God and ends in ourselves. For, certainly, as anyone who may have experienced it will see, the whole exterior man enjoys this spiritual delight and sweetness.
5. I was now thinking, while writing this, that the verse mentioned above, Dilatasti cor meum, says the heart was expanded. I don't think the experience is something, as I say, that rises from the heart, but from another part still more interior, as from something deep. I think this must be the center of the soul, as I later came to understand and will mention at the end. For certainly I see secrets within ourselves that have often caused me to marvel. And how many more there must be! Oh, my Lord and my God, how great are Your grandeurs! We go about here below like foolish little shepherds, for while it seems that we are getting some",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,0,2,18,1,0,0,9,14,5,14,7,2,8,0,4,1,0,8
"717",1577,109,"knowledge of You it must amount to no more than nothing; for even in our own selves there are great secrets that we don't understand. I say ""no more than nothing"" because I'm comparing it to the many, many secrets that are in You, not because the grandeurs we see in You are not extraordinary; and that includes those we can attain knowledge of through Your works.
6. To return to the verse, what I think is helpful in it for explaining this matter is the idea of expansion. It seems that since that heavenly water begins to rise from this spring I'm mentioning that is deep within us, it swells and expands our whole interior being, producing ineffable blessings; nor does the soul even understand what is given to it there. It perceives a fragrance, let us say for now, as though there were in that interior depth a brazier giving off sweet-smelling perfumes. No light is seen, nor is the place seen where the brazier is; but the warmth and the fragrant fumes spread through the entire soul and even often enough, as I have said, the body shares in them. See now that you understand me; no heat is felt, nor is there the scent of any perfume, for the experience is more delicate than an experience of these things; but I use the examples only so as to explain it to you. And let persons who have not experienced these things understand that truthfully they do happen and are felt in this way, and the soul understands them in a manner clearer than is my explanation right now. This spiritual delight is not something that can be imagined, because however diligent our efforts we cannot acquire it. The very experience of it makes us realize that it is not of the same metal as we ourselves but fashioned from the purest gold of the divine wisdom. Here, in my opinion, the faculties are not united but absorbed and looking as though in wonder at what they see.
7. It's possible that in dealing with these interior matters I might contradict something of what I said elsewhere. That's no surprise, because in the almost fifteen years since I wrote it the Lord may perhaps have given me clearer understanding in these matters than I had before. Now, as then, I could be completely mistaken -- but I would not lie, because by God's mercy I'd rather suffer a thousand deaths. I speak of what I understand.
8. It",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,1,4,14,0,2,1,23,10,5,12,5,6,5,3,1,0,0,1
"718",1577,110,"seems clear to me the will must in some way be united with God's will. But it is in the effects and deeds following afterward that one discerns the true value of prayer; there is no better crucible for testing prayer. It is quite a great favor from our Lord if the person receiving the favor recognizes it, and a very great one if he doesn't turn back.
You will at once desire, my daughters, to obtain this prayer; and you are right, for, as I have said, the soul will never understand the favors the Lord is granting there or the love with which He is drawing it nearer to Himself. It is good to try to understand how we can obtain such a favor; so I am going to tell you what I have understood about this.
9. Let's leave aside the times when our Lord is pleased to grant it because He wants to and for no other reason. He knows why; we don't have to meddle in this. After you have done what should be done by those in the previous dwelling places; humility! humility! By this means the Lord allows Himself to be conquered with regard to anything we want from Him. The first sign for seeing whether or not you have humility is that you do not think you deserve these favors and spiritual delights from the Lord or that you will receive them in your lifetime.
You will ask me how then one can obtain them without seeking them. I answer that for the following reasons there is no better way than the one I mentioned, of not striving for them. First, because the initial thing necessary for such favors is to love God without self-interest. Second, because there is a slight lack of humility in thinking that for our miserable services something so great can be obtained. Third, because the authentic preparation for these favors on the part of those of us who, after all, have offended Him is the desire to suffer and imitate the Lord rather than to have spiritual delights. Fourth, because His Majesty is not obliged to give them to us as He is to give us glory if we keep His commandments. (Without these favors we can be saved, and He knows better than we ourselves what is fitting for us and who of us truly loves Him. This is certain, I know. And I know persons who walk by the path of love as they ought to",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,14,0,4,27,2,1,2,17,12,12,11,8,1,1,0,0,0,4,0
"719",1577,111,"walk, that is, only so as to serve their Christ crucified; not only do these persons refuse to seek spiritual delights from Him or to desire them but they beseech Him not to give them these favors during their lifetime. This is true.) The fifth reason is that we would be laboring in vain; for since this water must not be drawn through aqueducts as was the previous water, we are little helped by tiring ourselves if the spring doesn't want to produce it. I mean that no matter how much we meditate or how much we try to squeeze something out and have tears, this water doesn't come in such a way. It is given only to whom God wills to give it and often when the soul is least thinking of it.
10. We belong to Him, daughters. Let Him do whatever He likes with us, bring us wherever He pleases. I really believe that whoever humbles himself and is detached (I mean in fact because the detachment and humility must not be just in our thoughts -- for they often deceive us -- but complete) will receive the favor of this water from the Lord and many other favors that we don't know how to desire. May He be forever praised and blessed, amen.

CHAPTER 3
 
Deals with the prayer of recollection which for the most part the Lord gives before the prayer just mentioned. Tells about its effects and about those that come from that spiritual delight, given by the Lord, that was discussed in the previous chapter.
 
1. The effects of this prayer are many. I shall mention some. But first, I want to mention another kind of prayer that almost always begins before this one. Since I have spoken of such a prayer elsewhere, I shall say little. It is a recollection that also seems to me to be supernatural because it doesn't involve being in the dark or closing the eyes, nor does it consist in any exterior thing, since without first wanting to do so, one does close one's eyes and desire solitude. It seems that without any contrivance the edifice is being built, by means of this recollection, for the prayer that was mentioned. The senses and exterior things seem to be losing their hold because the souls is recovering what it had lost.
2. They say that the soul enters within itself and, at other times, that it rises above itself. With such terminology I wouldn't know how to clarify anything.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,21,0,4,10,0,0,3,19,14,11,17,7,2,3,1,2,1,0,4
"720",1577,112,"This is what's wrong with me: that I think you will understand by my way of explaining, while perhaps I'm the only one who will understand myself. Let us suppose that these senses and faculties (for I have already mentioned that these powers are the people of this castle, which is the image I have taken for my explanation) have gone outside and have walked for days and years with strangers -- enemies of the well-being of the castle. Having seen their perdition they've already begun to approach the castle even though they may not manage to remain inside because the habit of doing so is difficult to acquire. But still they are not traitors, and they walk in the environs of the castle. Once the great King, who is in the center dwelling place of this castle, sees their good will, He desires in His wonderful mercy to bring them back to Him. Like a good shepherd, with a whistle so gentle that even they themselves almost fail to hear it, He makes them recognize His voice and stops them from going so far astray so that they will return to their dwelling place. And this shepherd's whistle has such power that they abandon the exterior things in which they were estranged from Him and enter the castle.
3. I don't think I've ever explained it as clearly as I have now. When God grants the favor it is a great help to seek Him within where He is found more easily and in a way more beneficial to us than when sought in creatures, as St. Augustine says after having looked for Him in many places. Don't think this recollection is acquired by the intellect striving to think about God within itself, or by the imagination imagining Him within itself. Such efforts are good and an excellent kind of meditation because they are founded on a truth, which is that God is within us. But this isn't the prayer of recollection because it is something each one can do -- with the help of God, as should be understood of everything. But what I'm speaking of comes in a different way. Sometimes before one begins to think of God, these people are already inside the castle. I don't know in what way or how they heard their shepherd's whistle. It wasn't through the ears, because nothing is heard. But one noticeably senses a gentle drawing inward, as anyone who goes through this will observe, for I don't",7,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,4,1,0,0,8,0,7,15,2,1,2,21,7,2,9,4,4,7,0,1,0,0,0
"721",1577,113,"know how to make it clearer. It seems to me I have read where it was compared to a hedgehog curling up or a turtle drawing into a shell. (The one who wrote this example must have understood the experience well.) But these creatures draw inward whenever they want. In the case of this recollection, it doesn't come when we want it but when God wants to grant us the favor. I for myself hold that when His Majesty grants it, He does so to persons who are already beginning to despise the things of the world. I don't say that those in the married state do so in deed, for they cannot, but in desire; for He calls such persons especially so that they might be attentive to interior matters. So I believe that if we desire to make room for His Majesty, He will give not only this but more, and give it to those whom He begins to call to advance further.
4. May whoever experiences this within himself praise God greatly because it is indeed right to recognize the favor and give thanks, for doing so will dispose one for other greater favors. And this recollection is a preparation for being able to listen, as is counselled in some books, so that the soul instead of striving to engage in discourse strives to remain attentive and aware of what the Lord is working in it. If His Majesty has not begun to absorb us, I cannot understand how the mind can be stopped. There's no way of doing so without bringing about more harm than good, although there has been a lengthy controversy on this matter among some spiritual persons. For my part I must confess my lack of humility, but those in favor of stopping the mind have never given me a reason for submitting to what they say. One of them tried to convince me with a certain book by the saintly Friar Peter of Alcántara -- for I believe he is a saint -- to whom I would submit because I know that he knew. And we read it together, and he says the same thing I do; although not in my words. But it is clear in what he says that love must be already awakened. It could be that I'm mistaken, but I have the following reasons.
5. First, in this work of the spirit the one who thinks less and has less desire to act does more. What we must",5,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,7,4,1,0,10,0,3,12,0,1,0,18,8,16,8,8,0,5,0,0,0,1,0
"722",1577,114,"do is beg like the needy poor before a rich and great emperor, and then lower our eyes and wait with humility. When through His secret paths it seems we understand that He hears us, then it is good to be silent since He has allowed us to remain near Him; and it will not be wrong to avoid working with the intellect -- if we can work with it, I mean. But if we don't yet know whether this King has heard or seen us, we mustn't become fools. The soul does become quite a fool when it tries to induce this prayer, and it is left much drier; and the imagination perhaps becomes more restless through the effort made not to think of anything. But the Lord desires that we beseech Him and call to mind that we are in His presence; He knows what is suitable for us. I cannot persuade myself to use human diligence in a matter in which it seems His Majesty has placed a limit, and I want to leave the diligence to Him. What He did not reserve to Himself are many other efforts we can make with His help, such as: penance, good deeds, and prayer -- insofar as our wretchedness can do these things.
6. The second reason is that these interior works are all gentle and peaceful; doing something arduous would cause more harm than good. I call any force that we might want to use ""something arduous;"" for example, it would be arduous to hold one's breath. Leave the soul in God's hands, let Him do whatever He wants with it, with the greatest resignation to the will of God.
The third reason is that the very care used not to think of anything will perhaps rouse the mind to think very much.
The fourth reason is that what is most essential and pleasing to God is that we be mindful of His honor and glory and forget ourselves and our own profit and comfort and delight. How is a person forgetful of self if he is so careful not to stir or even to allow his intellect or desires to be stirred to a longing for the greater glory of God, or if he rests in what he already has? When His Majesty desires the intellect to stop, He occupies it in another way and gives it a light so far above what we can attain that it remains absorbed. Then, without knowing how, the intellect is much",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,10,0,10,21,2,0,3,19,16,13,20,3,2,3,2,3,0,0,0
"723",1577,115,"better instructed than it was through all the soul's efforts not to make use of it. Since God gave us our faculties that we might work with them and in this work they find their reward, there is no reason to charm them; we should let them perform their task until God appoints them to another greater one.
7. What I understand to be most fitting for the soul the Lord has desired to put in this dwelling place is that which has been said. And without any effort or noise the soul should strive to cut down the rambling of the intellect -- but not suspend either it or the mind; it is good to be aware that one is in God's presence and of who God is. If what it feels within itself absorbs it, well and good. But let it not strive to understand the nature of this recollection, for it is given to the will. Let the soul enjoy it without any endeavors other than some loving words, for even though we may not try in this prayer to go without thinking of anything, I know that often the intellect will be suspended, even though for only a very brief moment.
8. But as I said elsewhere the reason why in this kind of prayer -- that is, the kind that is like the flowing spring in which the water does not come through aqueducts -- the soul restrains itself or is restrained is its realization that it doesn't understand what it desires; and so the mind wanders from one extreme to the other, like a fool unable to rest in anything. (I am referring to the kind of prayer this dwelling place began with, for I have joined the prayer of recollection, which I should have mentioned first, with this one. The prayer of recollection is much less intense than the prayer of spiritual delight from God that I mentioned. But it is the beginning through which one goes to the other; for in the prayer of recollection, meditation, or the work of the intellect, must not be set aside.) The will has such deep rest in its God that the clamor of the intellect is a terrible bother to it. There is no need to pay any attention to this clamor, for doing so would make the will lose much of what it enjoys. But one should leave the intellect go and surrender oneself into the arms of love, for His Majesty will teach",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,1,20,0,7,18,2,2,1,17,7,10,15,2,0,3,1,1,0,1,1
"724",1577,116,"the soul what it must do at that point. Almost everything lies in finding oneself unworthy of so great a good and in being occupied with giving thanks.
9. In order to deal with the prayer of recollection I postponed mention of the effects or signs in souls to whom God, our Lord, gives this prayer of quiet. What an expansion or dilation of the soul is may be clearly understood from the example of a fount whose water doesn't overflow into a stream because the fount itself is constructed of such material that the more water there is flowing into it the larger the trough becomes. So it seems is the case with this prayer and many other marvels that God grants to the soul, for He enables and prepares it so that it can keep everything within itself. Hence this interior sweetness and expansion can be verified in the fact that the soul is not as tied down as it was before in things pertaining to the service of God, but has much more freedom. Thus, in not being constrained by the fear of hell (because although there is even greater fear of offending God it loses servile fear here), this soul is left with great confidence that it will enjoy Him. The fear it used to have of doing penance and losing its health has disappeared, and it now thinks it will be able to do all things in God and has greater desire for penance than previously. The fear it used to have of trials it now sees to be tempered. Its faith is more alive; it knows that if it suffers trials for God, His Majesty will give it the grace to suffer them with patience. Sometimes it even desires them because there also remains a strong will to do something for God. Since its knowledge of God's grandeur grows, it considers itself to be more miserable. Because it has already experienced spiritual delight from God, it sees that worldly delights are like filth. It finds itself withdrawing from them little by little, and it is more master of itself for so doing. In sum, there is an improvement in all the virtues. It will continue to grow if it doesn't turn back now to offending God; because if it does, then everything will be lost however high on the summit the soul may be. Nor should it be understood that if God grants this favor once or twice to a soul all these",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,15,19,6,4,6,12,11,8,13,10,2,1,0,0,2,0,2
"725",1577,117,"good effects will be caused. It must persevere in receiving them, for in this perseverance lies all our good.
10. One strong warning I give to whoever finds himself in this state is that he guard very carefully against placing himself in the occasion of offending God. In this prayer the soul is not yet grown but is like a suckling child. If it turns away from its mother's breasts, what can be expected for it but death? I am very afraid that this will happen to anyone to whom God has granted this favor and who withdraws from prayer -- unless he does so for a particularly special reason -- or if he doesn't return quickly to prayer, for he will go from bad to worse. I know there is a great deal to fear in this matter. And I know some persons for whom I have felt quite sorry -- and I've seen what I'm speaking about -- because they have turned away from One who with so much love wanted to be their friend and proved it by deeds. I advise them so strongly not to place themselves in the occasions of sin because the devil tries much harder for a soul of this kind than for very many to whom the Lord does not grant these favors. For such a soul can do a great deal of harm to the devil by getting others to follow it, and it could be of great benefit to God's Church. And even though the devil may have no other reason than to see who it is to whom His Majesty shows particular love, that's sufficient for him to wear himself out trying to lead the soul to perdition. So these souls suffer much combat, and if they go astray, they stray much more than do others.
You, Sisters, are free of dangers, from what we can know. From pride and vainglory may God deliver you. If the devil should counterfeit God's favors, this will be known by the fact that these good effects are not caused, but just the opposite.
11. There is one danger I want to warn you about (although I may have mentioned it elsewhere) into which I have seen persons of prayer fall, especially women, for since we are weaker there is more occasion for what I'm about to say. It is that some have a weak constitution because of a great amount of penance, prayer, and keeping vigil, and even without these; in receiving some",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,23,1,18,21,2,4,1,11,11,10,13,4,3,2,2,2,2,3,0
"726",1577,118,"favor, their nature is overcome. Since they feel some consolation interiorly and a languishing and weakness exteriorly, they think they are experiencing a spiritual sleep (which is a prayer a little more intense than the prayer of quiet) and they let themselves become absorbed. The more they allow this, the more absorbed they become because their nature is further weakened, and they fancy that they are being carried away in rapture. I call it being carried away in foolishness because it amounts to nothing more than wasting time and wearing down one's health. These persons feel nothing through their senses nor do they feel anything concerning God. One person happened to remain eight hours in this state. By sleeping and eating and avoiding so much penance, this person got rid of the stupor, for there was someone who understood her. She had misled both her confessor and other persons, as well as herself -- for she hadn't intended to deceive. I truly believe that the devil was trying to gain ground, and in this instance indeed he was beginning to gain no small amount.
12. It must be understood that when something is truly from God there is no languishing in the soul, even though there may be an interior and exterior languishing, for the soul experiences deep feelings on seeing itself close to God. Nor does the experience last so long, but for a very short while -- although one becomes absorbed again. In such prayer, if the cause of it is not weakness, as I said, the body is not worn down nor is any external feeling produced.
13. For this reason let them take the advice that when they feel this languishing in themselves they tell the prioress and distract themselves from it insofar as they can. The prioress should make them give up so many hours for prayer so that they have only a very few and try to get them to sleep and eat well until their natural strength begins to return, if it has been lost through a lack of food and sleep. If a Sister's nature is so weak that this is not enough, may she believe me that God does not want her to practice anything but the active life, which also must be practiced in monasteries. They should let her get busy with different duties; and always take care that she not have a great deal of solitude, for she would lose her health completely. It will be quite a mortification",0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,15,0,10,9,2,0,2,17,10,10,12,7,1,2,6,5,7,0,3
"727",1577,119,"for her; in how she bears this absence is the way the Lord wants to test her love for Him. And He will be pleased to give her strength back after some time. If He doesn't, she will gain through vocal prayer and through obedience and will merit what she would have merited otherwise, and perhaps more.
14. There could also be some persons with such weak heads and imaginations -- and I have known some -- to whom it seems that everything they think about they see. This is very dangerous. Because I shall perhaps treat of it later on, I'll say no more here. I have greatly enlarged upon this dwelling place because it is the one which more souls enter. Since it is, and since the natural and the supernatural are joined in it, the devil can do more harm. In those dwelling places still to be spoken of, the Lord doesn't give him so much leeway. May His Majesty be forever praised, amen. THE FIFTH DWELLING PLACES
 
Contains Four Chapters
CHAPTER 1
 
Begins to deal with how the soul is united to God in prayer. Tells how one discerns whether there is any illusion.
 
1. O Sisters, how can I explain the riches and treasures and delights found in the fifth dwelling places? I believe it would be better not to say anything about these remaining rooms, for there is no way of knowing how to speak of them; neither is the intellect capable of understanding them nor can comparisons help in explaining them; earthly things are too coarse for such a purpose.
Send light from heaven, my Lord, that I might be able to enlighten these Your servants -- for You have been pleased that some of them ordinarily enjoy these delights -- so that they may not be deceived by the devil transforming himself into an angel of light. For all their desires are directed toward pleasing You.
2. And although I have said ""some,"" there are indeed only a few who fail to enter this dwelling place of which I shall now speak. There are various degrees, and for that reason I say that most enter these places. But I believe that only a few will experience some of the things that I will say are in this room. Yet even if souls do no more than reach the door, God is being very merciful to them; although many are called few are chosen. So I say now that all of us who wear this",1,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,1,17,0,11,17,5,1,1,14,12,7,17,5,1,9,0,2,1,1,0
"728",1577,120,"holy habit of Carmel are called to prayer and contemplation. This call explains our origin; we are the descendants of men who felt this call, of those holy fathers on Mount Carmel who in such great solitude and contempt for the world sought this treasure, this precious pearl of contemplation that we are speaking about. Yet few of us dispose ourselves that the Lord may communicate it to us. In exterior matters we are proceeding well so that we will reach what is necessary; but in the practice of the virtues that are necessary for arriving at this point we need very, very much and cannot be careless in either small things or great. So, my Sisters, since in some way we can enjoy heaven on earth, be brave in begging the Lord to give us His grace in such a way that nothing will be lacking through our own fault; that He show us the way and strengthen the soul that it may dig until it finds this hidden treasure. The truth is that the treasure lies within our very selves. This is what I would like to know how to explain, if the Lord would enable me to do so.
3. I said ""strengthen the soul"" so that you will understand that bodily strength is not necessary for those to whom God does not give it. He doesn't make it impossible for anyone to buy His riches. He is content if each one gives what he has. Blessed be so great a God. But reflect, daughters, that He doesn't want you to hold on to anything, so that you will be able to enjoy the favors we are speaking of. Whether you have little or much, He wants everything for Himself; and in conformity with what you know you have given you will receive greater or lesser favors. There is no better proof for recognizing whether our prayer has reached union or not.
4. Don't think this union is some kind of dreamy state like the one I mentioned before. I say ""dreamy state"" because it only seems that the soul is asleep; for neither does it really think it is asleep nor does it feel awake. There is no need here to use any technique to suspend the mind since all the faculties are asleep in this state -- and truly asleep -- to the things of the world and to ourselves. As a matter of fact, during the time that the union lasts the soul is",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,15,0,4,26,0,2,0,15,7,10,14,9,0,4,2,5,0,0,0
"729",1577,121,"left as though without its senses, for it has no power to think even if it wants to. In loving, if it does love, it doesn't understand how or what it is it loves or what it would want. In sum, it is like one who in every respect has died to the world so as to live more completely in God. Thus the death is a delightful one, an uprooting from the soul of all the operations it can have while being in the body. The death is a delightful one because in truth it seems that in order to dwell more perfectly in God the soul is so separated from the body that I don't even know if it has life enough to breathe. (I was just now thinking about this, and it seems to me that it doesn't -- at least if it does breathe, it is unaware it is doing so.) Nonetheless, its whole intellect would want to be occupied in understanding something of what is felt. And since the soul does not have the energy to attain to this, it is so stunned that, even if consciousness is not completely lost, neither a hand nor a foot stirs, as we say here below when a person is in such a swoon that we think he is dead.
O secrets of God! I would never tire of trying to explain them if I thought I could in some way manage to do so; thus I will say a thousand foolish things in order that I might at times succeed and that we might give great praise to the Lord.
5. I said that this union was not some kind of dreamy state, because even if the experience in the dwelling place that was just mentioned is abundant the soul remains doubtful that it was union. It doubts whether it imagined the experience; whether it was asleep; whether the experience was given by God; or whether the devil transformed himself into an angel of light. It is left with a thousand suspicions. That it has them is good, for, as I have said, even our own nature can sometimes deceive us in that dwelling place. Though there is not so much room for poisonous things to enter, some tiny lizards do enter; since these lizards have slender heads they can poke their heads in anywhere. And even though they do no harm, especially if one pays no attention to them, as I said, they are often a",2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,2,1,1,12,4,12,15,7,1,1,18,7,15,24,7,0,5,2,10,3,2,0
"730",1577,122,"bother since they are little thoughts proceeding from the imagination and from what I mentioned. But however slender they may be, these little lizards cannot enter this fifth dwelling place; for there is neither imagination, nor memory, nor intellect that can impede this good. And I would dare say that if the prayer is truly that of union with God the devil cannot even enter or do any damage. His Majesty is so joined and united with the essence of the soul that the devil will not approach nor will he even know about this secret. And this is obvious. Since as they say, he doesn't know our mind, he will have less knowledge of something so secret; for God doesn't even entrust this to our own mind. Oh what a great good, a state in which this accursed one does us no harm! Thus the soul is left with such wonderful blessings because God works within it without anyone disturbing Him, not even ourselves. What will He not give, who is so fond of giving and who can give all that He wants?
6. It seems I have left you confused by saying ""if it is union"" and that there are other unions. And indeed how true it is that there are! Even though these unions regard vain things, the devil will use such things to transport us when they are greatly loved. But he doesn't do so in the way God does, or with the delight and satisfaction of soul, or with the peace and joy. This union is above all earthly joys, above all delights, above all consolations, and still more than that. It doesn't matter where those spiritual or earthly joys come from, for the feeling is very different as you will have experienced. I once said that the difference is like that between feeling something on the rough outer covering of the body or in the marrow of the bones. And that was right on the mark, for I don't know how to say it better.
7. It seems to me that you're still not satisfied, for you will think you can be mistaken and that these interior things are something difficult to examine. What was said will be sufficient for anyone who has experienced union. Yet, because the difference between union and the previous experience is great, I want to mention a clear sign by which you will be sure against error or doubts about whether the union is from God. His Majesty has",3,3,0,1,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,14,0,13,23,4,1,1,16,8,6,19,10,0,6,3,3,0,1,0
"731",1577,123,"brought it to my memory today, and in my opinion it is the sure sign. In difficult matters even though it seems to me I understand and that I speak the truth I always use this expression ""it seems to me."" For if I am mistaken, I am very much prepared to believe what those who have a great deal of learning say. Even though they have not experienced these things, very learned men have a certain ""I don't know what;"" for since God destines them to give light to His Church, He enlightens them that they might acknowledge a truth when presented with it. And if they do not live a dissipated life but are God's servants, they are never surprised by His grandeurs; they have come to understand well that He can do ever more and more. And, finally, even though some things are not so well explained, these learned men will find other things in their books that will show that these things could take place.
8. I have had a great deal of experience with learned men, and have also had experience with half-learned, fearful ones; these latter cost me dearly. At least I think that anyone who refuses to believe that God can do much more or that He has considered and continues to consider it good sometimes to communicate favors to His creatures, has indeed closed the door to receiving them. Therefore, Sisters, let this never happen to you, but believe that God can do far more and don't turn your attention to whether the ones to whom He grants His favors are good or bad; for His Majesty know this, as I have told you. There is no reason for us to meddle in the matter, but with humility and simplicity of heart we should serve and praise Him for His works and marvels.
9. Well then, to return to the sign that I say is the true one, you now see that God has made this soul a fool with regard to all so as better to impress upon it true wisdom. For during the time of this union it neither sees, nor hears, nor understands, because the union is always short and seems to the soul even much shorter than it probably is. God so places Himself in the interior of that soul that when it returns to itself it can in no way doubt that it was in God and God was in it. This truth remains with it so",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,13,0,6,23,2,0,0,25,6,5,14,14,2,4,0,1,1,0,0
"732",1577,124,"firmly that even though years go by without God's granting that favor again, the soul can neither forget nor doubt that it was in God and God was in it. This certitude is what matters now, for I shall speak of the effects of this prayer afterward.
10. Now, you will ask me, how did the soul see this truth or understand if it didn't see or understand anything? I don't say that it then saw the truth but that afterward it sees the truth clearly, not because of a vision but because of a certitude remaining in the soul that only God can place there. I know a person who hadn't learned that God was in all things by presence, power, and essence, and through a favor of this kind that God granted her she came to believe it. After asking a half-learned man of the kind I mentioned -- he knew as little as she had known before God enlightened her -- she was told that God was present only by grace. Such was her own conviction that even after this she didn't believe him and asked others who told her the truth, with which she was greatly consoled.
11. Don't be mistaken by thinking that this certitude has to do with a corporal form, as in the case of the bodily presence of our Lord Jesus Christ in the Most Blessed Sacrament even though we do not see Him. Here the matter isn't like that; it concerns only the divinity. How, then, is it that what we do not see leaves this certitude? I don't know; these are His works. But I do know I speak the truth. And I would say that whoever does not receive this certitude does not experience union of the whole soul with God, but union of some faculty, or that he experiences one of the many others kinds of favors God grants souls. In regard to all these favors we have to give up looking for reasons to see how they've come about. Since our intellect cannot understand this union why do we have to make this effort? It's enough for us to see that He who is the cause of it is almighty. Since we have no part at all to play in bringing it about no matter how much effort we put forth, but it is God who does so, let us not desire the capacity to understand this union.
12. Now I recall, in saying that we have no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,22,0,2,15,1,0,0,17,13,4,8,9,9,5,0,1,0,0,0
"733",1577,125,"part to play, what you have heard the bride say in the Song of Songs: He brought me into the wine cellar (or, placed me there, I believe it says). And it doesn't say that she went. And it says also that she went looking about in every part of the city for her Beloved. I understand this union to be the wine cellar where the Lord wishes to place us when He desires and as He desires. But however great the effort we make to do so, we cannot enter. His Majesty must place us there and enter Himself into the center of our soul. And that He may show His marvels more clearly He doesn't want our will to have any part to play, for it has been entirely surrendered to Him. Neither does He want the door of the faculties and of the senses to be opened, for they are all asleep. But He wants to enter the center of the soul without going through any door, as He entered the place where His disciples were when He said, pax vobis; or as He left the tomb without lifting away the stone. Further on you will see in the last dwelling place how His Majesty desires that the soul enjoy Him in its own center even much more than here.
13. O daughters, how much we shall see if we don't want to have anything more to do with our own lowliness and misery and if we understand that we are unworthy of being servants of a Lord who is so great we cannot comprehend His wonders! May He be forever praised, amen.

CHAPTER 2
 
Continues on the same topic. Explains the prayer of union through an exquisite comparison. Tells about the effects it leaves in the soul. The chapter is very important.
 
1. It will seem to you that everything has already been said about what there is to see in this dwelling place. Yet a lot is missing; for, as I said, there are various degrees of intensity. With regard to the nature of union, I don't believe I'd know how to say anything more. But when souls to whom God grants these favors prepare themselves, there are many things to say about the Lord's work in them. I shall speak of some of these and tell about the state the soul is left in. To explain things better I want to use a helpful comparison; it is good for making us see how, even",1,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,7,2,0,13,1,5,12,3,0,3,12,8,12,14,7,5,13,0,1,0,0,2
